Period,Year,Age group,Actual Price,Inflation Adjusted Price
1994-08,1994,65+,5.8974391589,13.687725077
1994-08,1994,16-64,7.9534166972,18.459568338
1994-08,1994,0-15,6.8996092819,16.013722642
1994-09,1994,Total,7.5019137098,17.411647605
1994-09,1994,65+,5.8650784244,13.61261708
1994-09,1994,0-15,6.8763746296,15.959795925
1994-09,1994,16-64,7.9678388892,18.49304168
1994-10,1994,Total,7.568954636,17.567246966
1994-10,1994,65+,5.8961012601,13.684619866
1994-10,1994,16-64,8.0229916391,18.62104905
1994-10,1994,0-15,6.9627663855,16.160307803
1994-11,1994,0-15,7.1616915368,16.62200528
1994-11,1994,16-64,8.2630204275,19.178146457
1994-11,1994,65+,6.0799275302,14.111273432
1994-11,1994,Total,7.7917007053,18.084231861
1994-12,1994,0-15,7.3469569178,17.051998966
1994-12,1994,65+,6.0687381805,14.08530339
1994-12,1994,16-64,8.2924499709,19.246451274
1994-12,1994,Total,7.8419480746,18.200854035
1995-01,1995,Total,7.9422938701,18.087476569
1995-01,1995,0-15,7.2942722586,16.611696913
1995-01,1995,16-64,8.4020262086,19.13445343
1995-01,1995,65+,6.1688026625,14.048595462
1995-02,1995,0-15,7.3630450666,16.768317478
1995-02,1995,16-64,8.4462487429,19.235164139
1995-02,1995,65+,6.1930675661,14.103855426
1995-02,1995,Total,7.9888924157,18.193598316
1995-03,1995,65+,6.0251771642,13.72150824
1995-03,1995,16-64,8.4329899265,19.204969018
1995-03,1995,Total,7.9304616268,18.060530271
1995-03,1995,0-15,7.3278964369,16.688271332
1995-04,1995,16-64,8.443931397,19.229886705
1995-04,1995,65+,6.0124481737,13.692519723
1995-04,1995,Total,7.9569017124,18.120743911
1995-04,1995,0-15,7.5342211371,17.15814732
1995-05,1995,0-15,7.3074418151,16.641688758
1995-05,1995,16-64,8.402958348,19.136576248
1995-05,1995,65+,6.0846418671,13.856930882
1995-05,1995,Total,7.9073845241,18.007975359
1995-06,1995,16-64,8.4184289053,19.171808304
1995-06,1995,Total,7.9273611311,18.05346932
1995-06,1995,65+,6.1823469656,14.07944074
1995-06,1995,0-15,7.2997885911,16.624259598
1995-07,1995,16-64,8.5360262261,19.439619949
1995-07,1995,65+,6.3942624157,14.562048888
1995-07,1995,Total,8.0626870707,18.361655444
1995-07,1995,0-15,7.3780188972,16.802418308
1995-08,1995,16-64,8.56170577,19.498101561
1995-08,1995,0-15,7.3984889211,16.849035958
1995-08,1995,Total,8.0647090006,18.36626011
1995-08,1995,65+,6.3167832267,14.385600744
1995-09,1995,0-15,7.4075033374,16.869565045
1995-09,1995,Total,8.0708898343,18.380336104
1995-09,1995,65+,6.3447065474,14.449192247
1995-09,1995,16-64,8.5599796559,19.494170575
1995-10,1995,Total,8.1362240053,18.529125649
1995-10,1995,16-64,8.6375172644,19.670751761
1995-10,1995,0-15,7.4142734032,16.884982935
1995-10,1995,65+,6.3755947975,14.519535968
1995-11,1995,0-15,7.7174232848,17.575364891
1995-11,1995,16-64,8.9545795192,20.392817225
